order_code,order_no,order_id,brand_name,series_name,plate_no,vin,guidance_price,prepaid_rate,finish_time,age,sex,mile_day_avg_afterpick,mile_sum_afterpick,cn_accident,sum_fixed_amount,installment,break_days_sum,break_count,proportion,illegal_sum,illegal_solve_times,is_return,score
516281920890,6248706663680000,3203,标致,标致4008,粤S7KV49,LDCP11241G4003828,20870000,14.0,2018-01-09 19:28:50,29.0,1.0,21.608082408874804,13634.7,1.0,0.0,157500.0,3.0,3.0,1.0,4.0,4.0,0,658.732
516100920255,6248925714318336,3230,标致,标致4008,粤S8LA92,LDCP11244G4003497,20870000,12.0,2018-01-06 16:18:27,31.0,1.0,28.31498422712934,17951.7,1.0,0.0,192500.0,3.0,1.0,1.0,4.0,4.0,0,692.1510000000001
518516409022,6249692610365440,3296,标致,标致4008,粤E146J0,LDCP11246G4005686,20870000,14.0,2018-01-18 20:28:58,31.0,0.0,15.975172025723474,9936.556999999999,0.0,0.0,157500.0,1.0,1.0,1.0,0.0,0.0,0,717.578
511055904270,6251950321861632,3398,标致,标致4008,闽DA1N65,LDCP11244G4007761,20870000,10.0,2018-01-18 16:11:40,33.0,1.0,46.8951768488746,29168.8,0.0,0.0,227500.0,2.0,2.0,1.0,16.0,16.0,0,644.682
514616009029,6252052956709888,3408,标致,标致2008,粤E894J1,LDC671T31G3762730,11820000,10.0,2018-01-20 17:00:31,29.0,1.0,13.408935483870971,8313.54,1.0,0.0,119800.0,0.0,0.0,1.0,1.0,1.0,0,708.8810000000001
512616809023,6254452945553408,3496,标致,标致2008,浙BX33V5,LDC671T35G3764013,11820000,20.0,2018-01-14 15:51:36,28.0,1.0,38.163258785942496,23890.2,3.0,640000.0,19800.0,0.0,0.0,1.0,4.0,4.0,0,713.393
516110091278,6255146139485184,3558,标致,标致2008,粤S8LF83,LDC671T31G3763490,11820000,14.0,2018-01-08 12:23:57,28.0,1.0,20.88085443037975,13196.7,0.0,0.0,79800.0,1.0,1.0,1.0,1.0,1.0,1,726.8739999999999
512075914196,6257204868122624,3619,标致,标致4008,川AG27H1,LDCP11243G4004172,20870000,10.0,2018-01-06 20:09:04,33.0,1.0,24.25804416403785,15379.6,0.0,0.0,227500.0,1.0,1.0,1.0,0.0,0.0,0,733.3989999999999
517210760197,6260535743611904,3828,标致,标致4008,粤E915J6,LDCP11249G4002460,20870000,12.0,2018-01-19 16:07:03,34.0,1.0,29.61723027375201,18392.3,0.0,0.0,192500.0,0.0,0.0,1.0,0.0,0.0,0,728.682
510016841928,6260779728242688,3861,标致,标致4008,粤S2LS08,LDCP1124XG4004038,20870000,10.0,2018-01-15 14:17:38,30.0,1.0,33.65008,21031.3,0.0,0.0,227500.0,0.0,0.0,1.0,0.0,0.0,0,733.2180000000001
